framework_key,requirement_key,implementation_title,implementation_steps,validation_method,owner_role,common_gap
cis-controls-8.1,cis.03,Implement Data Protection,"1. Define the accountable owner and scope for Data Protection. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cis-controls-8.1,cis.04,Implement Secure Configuration of Enterprise Assets and Software,"1. Define the accountable owner and scope for Secure Configuration of Enterprise Assets and Software. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cis-controls-8.1,cis.05,Implement Account Management,"1. Define the accountable owner and scope for Account Management. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cis-controls-8.1,cis.06,Implement Access Control Management,"1. Define the accountable owner and scope for Access Control Management. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cis-controls-8.1,cis.07,Implement Continuous Vulnerability Management,"1. Define the accountable owner and scope for Continuous Vulnerability Management. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cis-controls-8.1,cis.08,Implement Audit Log Management,"1. Define the accountable owner and scope for Audit Log Management. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cis-controls-8.1,cis.09,Implement Email and Web Browser Protections,"1. Define the accountable owner and scope for Email and Web Browser Protections. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cis-controls-8.1,cis.10,Implement Malware Defenses,"1. Define the accountable owner and scope for Malware Defenses. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cis-controls-8.1,cis.11,Implement Data Recovery,"1. Define the accountable owner and scope for Data Recovery. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cis-controls-8.1,cis.12,Implement Network Infrastructure Management,"1. Define the accountable owner and scope for Network Infrastructure Management. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cis-controls-8.1,cis.13,Implement Network Monitoring and Defense,"1. Define the accountable owner and scope for Network Monitoring and Defense. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cis-controls-8.1,cis.14,Implement Security Awareness and Skills Training,"1. Define the accountable owner and scope for Security Awareness and Skills Training. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cis-controls-8.1,cis.15,Implement Service Provider Management,"1. Define the accountable owner and scope for Service Provider Management. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cis-controls-8.1,cis.16,Implement Application Software Security,"1. Define the accountable owner and scope for Application Software Security. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cis-controls-8.1,cis.17,Implement Incident Response Management,"1. Define the accountable owner and scope for Incident Response Management. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cis-controls-8.1,cis.18,Implement Penetration Testing,"1. Define the accountable owner and scope for Penetration Testing. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-csf-2.0,csf.govern,Implement Govern,"1. Publish the current approved policy or procedure for Govern. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-csf-2.0,csf.identify,Implement Identify,"1. Define the accountable owner and scope for Identify. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-csf-2.0,csf.protect,Implement Protect,"1. Define the accountable owner and scope for Protect. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-csf-2.0,csf.detect,Implement Detect,1. Define the in-scope systems and success threshold for Detect. 2. Connect the required telemetry or inventory data. 3. Create a saved search or dashboard panel that shows current status and exceptions. 4. Assign an owner for uncovered items. 5. Review the result on a defined cadence and retain the output as evidence.,"Open the linked tracking view or saved search, confirm the time window and scope, inspect exceptions, and retain the result with its run date. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-csf-2.0,csf.respond,Implement Respond,"1. Define the accountable owner and scope for Respond. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-csf-2.0,csf.recover,Implement Recover,"1. Define the accountable owner and scope for Recover. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cmmc-2.0-level-2,cmmc.ac,Implement Access Control,"1. Define the accountable owner and scope for Access Control. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cmmc-2.0-level-2,cmmc.at,Implement Awareness and Training,"1. Publish the current approved policy or procedure for Awareness and Training. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cmmc-2.0-level-2,cmmc.au,Implement Audit and Accountability,"1. Define the accountable owner and scope for Audit and Accountability. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cmmc-2.0-level-2,cmmc.ca,Implement Assessment,"1. Define the accountable owner and scope for Assessment. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cmmc-2.0-level-2,cmmc.cm,Implement Configuration Management,1. Define the in-scope systems and success threshold for Configuration Management. 2. Connect the required telemetry or inventory data. 3. Create a saved search or dashboard panel that shows current status and exceptions. 4. Assign an owner for uncovered items. 5. Review the result on a defined cadence and retain the output as evidence.,"Open the linked tracking view or saved search, confirm the time window and scope, inspect exceptions, and retain the result with its run date. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cmmc-2.0-level-2,cmmc.ia,Implement Identification and Authentication,1. Define the in-scope systems and success threshold for Identification and Authentication. 2. Connect the required telemetry or inventory data. 3. Create a saved search or dashboard panel that shows current status and exceptions. 4. Assign an owner for uncovered items. 5. Review the result on a defined cadence and retain the output as evidence.,"Open the linked tracking view or saved search, confirm the time window and scope, inspect exceptions, and retain the result with its run date. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cmmc-2.0-level-2,cmmc.ir,Implement Incident Response,"1. Define the accountable owner and scope for Incident Response. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cmmc-2.0-level-2,cmmc.ma,Implement Maintenance,"1. Define the accountable owner and scope for Maintenance. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cmmc-2.0-level-2,cmmc.mp,Implement Media Protection,"1. Publish the current approved policy or procedure for Media Protection. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cmmc-2.0-level-2,cmmc.pe,Implement Physical Protection,"1. Publish the current approved policy or procedure for Physical Protection. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cmmc-2.0-level-2,cmmc.ps,Implement Personnel Security,"1. Publish the current approved policy or procedure for Personnel Security. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cmmc-2.0-level-2,cmmc.ra,Implement Risk Assessment,"1. Define the accountable owner and scope for Risk Assessment. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cmmc-2.0-level-2,cmmc.sc,Implement System and Communications Protection,1. Define the in-scope systems and success threshold for System and Communications Protection. 2. Connect the required telemetry or inventory data. 3. Create a saved search or dashboard panel that shows current status and exceptions. 4. Assign an owner for uncovered items. 5. Review the result on a defined cadence and retain the output as evidence.,"Open the linked tracking view or saved search, confirm the time window and scope, inspect exceptions, and retain the result with its run date. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cmmc-2.0-level-2,cmmc.si,Implement System and Information Integrity,1. Define the in-scope systems and success threshold for System and Information Integrity. 2. Connect the required telemetry or inventory data. 3. Create a saved search or dashboard panel that shows current status and exceptions. 4. Assign an owner for uncovered items. 5. Review the result on a defined cadence and retain the output as evidence.,"Open the linked tracking view or saved search, confirm the time window and scope, inspect exceptions, and retain the result with its run date. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
iso-27001-2022,iso27001.a5,Implement Organizational Controls,"1. Publish the current approved policy or procedure for Organizational Controls. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
iso-27001-2022,iso27001.a6,Implement People Controls,"1. Publish the current approved policy or procedure for People Controls. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
iso-27001-2022,iso27001.a7,Implement Physical Controls,"1. Publish the current approved policy or procedure for Physical Controls. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
iso-27001-2022,iso27001.a8,Implement Technological Controls,1. Define the in-scope systems and success threshold for Technological Controls. 2. Connect the required telemetry or inventory data. 3. Create a saved search or dashboard panel that shows current status and exceptions. 4. Assign an owner for uncovered items. 5. Review the result on a defined cadence and retain the output as evidence.,"Open the linked tracking view or saved search, confirm the time window and scope, inspect exceptions, and retain the result with its run date. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-53r5,nist53.ac,Implement Access Control,"1. Define the accountable owner and scope for Access Control. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-53r5,nist53.at,Implement Awareness and Training,"1. Publish the current approved policy or procedure for Awareness and Training. 2. Assign an accountable owner and review cadence. 3. Define operating steps, scope, exceptions, and required records. 4. Train affected personnel and retain acknowledgement where applicable. 5. Review operating evidence and record remediation for gaps.","Review the approved document, owner, approval date, review date, scope, exceptions, and operating evidence. A policy document by itself is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-53r5,nist53.au,Implement Audit and Accountability,"1. Define the accountable owner and scope for Audit and Accountability. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-53r5,nist53.ca,"Implement Assessment, Authorization, and Monitoring","1. Define the accountable owner and scope for Assessment, Authorization, and Monitoring. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-53r5,nist53.cm,Implement Configuration Management,1. Define the in-scope systems and success threshold for Configuration Management. 2. Connect the required telemetry or inventory data. 3. Create a saved search or dashboard panel that shows current status and exceptions. 4. Assign an owner for uncovered items. 5. Review the result on a defined cadence and retain the output as evidence.,"Open the linked tracking view or saved search, confirm the time window and scope, inspect exceptions, and retain the result with its run date. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-53r5,nist53.cp,Implement Contingency Planning,"1. Define the accountable owner and scope for Contingency Planning. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-53r5,nist53.ia,Implement Identification and Authentication,1. Define the in-scope systems and success threshold for Identification and Authentication. 2. Connect the required telemetry or inventory data. 3. Create a saved search or dashboard panel that shows current status and exceptions. 4. Assign an owner for uncovered items. 5. Review the result on a defined cadence and retain the output as evidence.,"Open the linked tracking view or saved search, confirm the time window and scope, inspect exceptions, and retain the result with its run date. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
nist-sp-800-53r5,nist53.ir,Implement Incident Response,"1. Define the accountable owner and scope for Incident Response. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
